ICAO,CIAD,Aeródromo,Cidade,UF,Alerta
SJAG,SP0031,Fazenda Santa Cruz,ARARAS,SP,Aeródromo FECHADO até 11/02/20: INFOTEMP {ts '2019-12-01 00:00:00'}
SNJG,GO0099,Fazenda São José da Lagoa,NOVA CRIXÁS,GO,Aeródromo FECHADO até 11/02/20: INFOTEMP 0013/2019
SNVU,MG0167,Fazenda Itatuba,CÁSSIA,MG,Aeródromo FECHADO até 11/02/20: INFOTEMP 0014/2019
SIRL,MG0030,Virginia Lyra,CONCEIÇÃO DAS ALAGOAS,MG,Aeródromo FECHADO até 11/02/20: INFOTEMP 0019/2019
SDVS,SP0198,Fazenda Vassoural,PONTAL,SP,Aeródromo FECHADO até 11/02/20: INFOTEMP 0018/2019
SJQL,MG0130,Águas Claras Aviação Agrícola ,SANTA JULIANA,MG,
SJSR,GO0085,Fazenda Santa Rosa,MARA ROSA,GO,Aeródromo FECHADO até 11/02/20: INFOTEMP 0021/2019
SWJT,GO0178,Toca da Orca,SANTO ANTÔNIO DE GOIÁS,GO,Aeródromo FECHADO até 11/02/20: INFOTEMP 0025/2019
SJAI,GO0065,Fazenda Davilândia,MONTIVIDIU DO NORTE,GO,Aeródromo FECHADO até 11/02/20: INFOTEMP 0026/2019
SWEF,MT0333,Fazenda Europa,COCALINHO,MT,Aeródromo FECHADO até 11/02/20: INFOTEMP 0031/2019
SDZA,DF0011,Península,BRASÍLIA,DF,Aeródromo FECHADO até 11/02/20: INFOTEMP 0016/2019
SIPG,MT0115,Fazenda Água Preta,COCALINHO,MT,
SICK,MG0033,Cidade Capelinha,CAPELINHA,MG,Aeródromo FECHADO até 11/02/20: INFOTEMP 0023/2019
SJXU,DF0006,Fazenda Coperbrás,BRASÍLIA,DF,Aeródromo FECHADO até 11/02/20: INFOTEMP 0024/2019
SSTD,BA0164,Stracci,SÃO DESIDÉRIO,BA,Aeródromo FECHADO até 11/02/20: INFOTEMP 0020/2019
SSWB,DF0008,COOPADF,BRASÍLIA,DF,Aeródromo FECHADO até 11/02/20: INFOTEMP 0027/2019
SDBZ,TO0011,Fazenda Brauna,ARRAIAS,TO,Aeródromo FECHADO até 11/02/20: INFOTEMP 0028/2019
SWCO,MT0331,Fazenda Continental,COCALINHO,MT,Aeródromo FECHADO até 11/02/20: INFOTEMP 0029/2019
SNFG,,,,, O aeródromo não foi encontrado. 
SJGI,,,,, O aeródromo não foi encontrado. 
SWDM,MT0015,DIAMANTINO,DIAMANTINO,MT,
SJOM,,,,, O aeródromo não foi encontrado. 
SNMS,PA0098,Pista Maranhense,ITAITUBA,PA,
SIWK,PA0034,Pista Aldeia Moykarako,SÃO FÉLIX DO XINGU,PA,
SNPE,,,,, O aeródromo não foi encontrado. 
SWTY,TO0009,TAGUATINGA,TAGUATINGA,TO,Aeródromo FECHADO até 04/06/19: INFOTEMP 1434/2018
SNAP,MG0021,Janaúba,JANAÚBA,MG,
